Hora,GHI_W_m2,Gmod,Generacion_PV,Consumo,Diferencia_Energia,Exceso_Energia,Deficit_Energia,Energia_GHI_Acumulada_Wh,Energia_Gmod_Acumulada_Wh,Energia_PV_Acumulada_Wh,Energia_Consumo_Acumulada_Wh,Capacidad_Sistema_Wp,Num_Modulos,Eficiencia_Modulo,Area_Total_m2,Perdidas_Sistema
0.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,175.0,3000,10.0,0.18,16.0,0.04
0.5,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,350.0,3000,10.0,0.18,16.0,0.04
1.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,525.0,3000,10.0,0.18,16.0,0.04
1.5,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,700.0,3000,10.0,0.18,16.0,0.04
2.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,875.0,3000,10.0,0.18,16.0,0.04
2.5,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1050.0,3000,10.0,0.18,16.0,0.04
3.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1225.0,3000,10.0,0.18,16.0,0.04
3.5,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1400.0,3000,10.0,0.18,16.0,0.04
4.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1575.0,3000,10.0,0.18,16.0,0.04
4.5,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1750.0,3000,10.0,0.18,16.0,0.04
5.0,0.0,0.0,0.0,350,-350.0,0.0,-350.0,0.0,0.0,0.0,1925.0,3000,10.0,0.18,16.0,0.04
5.5,1.97,1.85,5.11488,350,-344.88512,0.0,-344.88512,0.985,0.925,2.55744,2100.0,3000,10.0,0.18,16.0,0.04
6.0,3.94,3.7,10.22976,410,-399.77024,0.0,-399.77024,2.955,2.7750000000000004,7.672320000000001,2305.0,3000,10.0,0.18,16.0,0.04
6.5,108.49,101.75000000000001,281.31840000000005,810,-528.6815999999999,0.0,-528.6815999999999,57.199999999999996,53.650000000000006,148.33152000000004,2710.0,3000,10.0,0.18,16.0,0.04
7.0,213.04,199.8,552.40704,1310,-757.59296,0.0,-757.59296,163.72,153.55,424.5350400000001,3365.0,3000,10.0,0.18,16.0,0.04
7.5,336.93,315.99,873.6491520000001,510,363.6491520000001,363.6491520000001,0.0,332.185,311.545,861.3596160000002,3620.0,3000,10.0,0.18,16.0,0.04
8.0,460.82,432.18,1194.8912639999999,708,486.89126399999986,486.89126399999986,0.0,562.595,527.635,1458.8052480000001,3974.0,3000,10.0,0.18,16.0,0.04
8.5,485.07,454.92,1257.7628160000002,608,649.7628160000002,649.7628160000002,0.0,805.13,755.095,2087.6866560000003,4278.0,3000,10.0,0.18,16.0,0.04
9.0,509.32,477.66,1320.634368,350,970.634368,970.634368,0.0,1059.79,993.9250000000001,2748.0038400000003,4453.0,3000,10.0,0.18,16.0,0.04
9.5,633.79,594.395,1643.3832959999997,350,1293.3832959999997,1293.3832959999997,0.0,1376.685,1291.1225,3569.6954880000003,4628.0,3000,10.0,0.18,16.0,0.04
10.0,758.26,711.13,1966.132224,350,1616.132224,1616.132224,0.0,1755.815,1646.6875,4552.7616,4803.0,3000,10.0,0.18,16.0,0.04
10.5,864.99,811.225,2242.87488,350,1892.8748799999998,1892.8748799999998,0.0,2188.31,2052.3,5674.1990399999995,4978.0,3000,10.0,0.18,16.0,0.04
11.0,971.72,911.32,2519.617536,350,2169.617536,2169.617536,0.0,2674.17,2507.96,6934.007807999999,5153.0,3000,10.0,0.18,16.0,0.04
11.5,1048.6,983.4200000000001,2718.959616,350,2368.959616,2368.959616,0.0,3198.4700000000003,2999.67,8293.487615999999,5328.0,3000,10.0,0.18,16.0,0.04
12.0,1125.48,1055.52,2918.3016959999995,350,2568.3016959999995,2568.3016959999995,0.0,3761.21,3527.4300000000003,9752.638463999998,5503.0,3000,10.0,0.18,16.0,0.04
