Hora,GHI_W_m2,Gmod,Generacion_PV,Consumo,Diferencia_Energia_kW,Exceso_Energia_kW,Deficit_Energia_kW,Energia_GHI_Acumulada_Wh,Energia_Gmod_Acumulada_Wh,Energia_PV_Acumulada_Wh,Energia_Consumo_Acumulada_Wh,Capacidad_Sistema_Wp,Num_Modulos,Eficiencia_Modulo,Area_Total_m2,Perdidas_Sistema
0.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,175.0,17400,30.0,0.221,79.35,0.04
0.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,350.0,17400,30.0,0.221,79.35,0.04
1.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,525.0,17400,30.0,0.221,79.35,0.04
1.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,700.0,17400,30.0,0.221,79.35,0.04
2.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,875.0,17400,30.0,0.221,79.35,0.04
2.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1050.0,17400,30.0,0.221,79.35,0.04
3.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1225.0,17400,30.0,0.221,79.35,0.04
3.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1400.0,17400,30.0,0.221,79.35,0.04
4.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1575.0,17400,30.0,0.221,79.35,0.04
4.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1750.0,17400,30.0,0.221,79.35,0.04
5.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1925.0,17400,30.0,0.221,79.35,0.04
5.5,1.97,0.0,0.0,350,-0.35,0.0,-0.35,0.985,0.0,0.0,2100.0,17400,30.0,0.221,79.35,0.04
6.0,3.94,0.0,0.0,410,-0.41,0.0,-0.41,2.955,0.0,0.0,2305.0,17400,30.0,0.221,79.35,0.04
6.5,108.49,42.805,586.1024149343999,510,0.07610241493439995,0.07610241493439995,0.0,57.199999999999996,21.4025,293.05120746719996,2560.0,17400,30.0,0.221,79.35,0.04
7.0,213.04,85.61,1172.2048298687998,410,0.7622048298688,0.7622048298688,0.0,163.72,64.2075,879.1536224015999,2765.0,17400,30.0,0.221,79.35,0.04
7.5,336.93,189.10500000000002,2589.2979132384007,410,2.1792979132384005,2.1792979132384005,0.0,332.185,158.76,2173.8025790208003,2970.0,17400,30.0,0.221,79.35,0.04
8.0,460.82,292.6,4006.390996608,470,3.5363909966080005,3.5363909966080005,0.0,562.595,305.06,4176.998077324801,3205.0,17400,30.0,0.221,79.35,0.04
8.5,485.07,333.37,4564.629414009601,470,4.094629414009601,4.094629414009601,0.0,805.13,471.745,6459.312784329601,3440.0,17400,30.0,0.221,79.35,0.04
9.0,509.32,374.14,5122.8678314112,350,4.772867831411201,4.772867831411201,0.0,1059.79,658.815,9020.7467000352,3615.0,17400,30.0,0.221,79.35,0.04
9.5,633.79,484.465,6633.4798843872,350,6.283479884387201,6.283479884387201,0.0,1376.685,901.0475,12337.486642228801,3790.0,17400,30.0,0.221,79.35,0.04
10.0,758.26,594.79,8144.0919373632005,350,7.7940919373632,7.7940919373632,0.0,1755.815,1198.4425,16409.532610910403,3965.0,17400,30.0,0.221,79.35,0.04
10.5,864.99,690.31,9451.988273644802,350,9.101988273644801,9.101988273644801,0.0,2188.31,1543.5975,21135.5267477328,4140.0,17400,30.0,0.221,79.35,0.04
11.0,971.72,785.83,10759.884609926403,350,10.409884609926403,10.409884609926403,0.0,2674.17,1936.5125,26515.469052696004,4315.0,17400,30.0,0.221,79.35,0.04
11.5,1048.6,852.1400000000001,11667.826465651202,350,11.317826465651203,11.317826465651203,0.0,3198.4700000000003,2362.5825,32349.382285521606,4490.0,17400,30.0,0.221,79.35,0.04
12.0,1125.48,918.45,12575.768321376003,350,12.225768321376004,12.225768321376004,0.0,3761.21,2821.8075,38637.26644620961,4665.0,17400,30.0,0.221,79.35,0.04
12.5,1131.1,918.86,12581.382198028801,1188,11.393382198028801,11.393382198028801,0.0,4326.76,3281.2374999999997,44927.95754522401,5259.0,17400,30.0,0.221,79.35,0.04
13.0,1136.72,919.27,12586.996074681601,1248,11.338996074681601,11.338996074681601,0.0,4895.12,3740.8724999999995,51221.45558256481,5883.0,17400,30.0,0.221,79.35,0.04
13.5,1106.78,881.985,12076.475608828798,1010,11.066475608828798,11.066475608828798,0.0,5448.51,4181.865,57259.69338697921,6388.0,17400,30.0,0.221,79.35,0.04
14.0,1076.84,844.7,11565.955142976003,410,11.155955142976003,11.155955142976003,0.0,5986.93,4604.215,63042.67095846721,6593.0,17400,30.0,0.221,79.35,0.04
14.5,1013.68,771.47,10563.262003257601,350,10.213262003257602,10.213262003257602,0.0,6493.77,4989.95,68324.30196009601,6768.0,17400,30.0,0.221,79.35,0.04
15.0,950.52,698.24,9560.568863539202,350,9.210568863539201,9.210568863539201,0.0,6969.030000000001,5339.07,73104.58639186561,6943.0,17400,30.0,0.221,79.35,0.04
15.5,858.95,592.75,8116.15947792,350,7.7661594779200005,7.7661594779200005,0.0,7398.505000000001,5635.445,77162.66613082562,7118.0,17400,30.0,0.221,79.35,0.04
16.0,767.38,487.26,6671.7500923008,350,6.3217500923008005,6.3217500923008005,0.0,7782.195000000001,5879.075,80498.54117697601,7293.0,17400,30.0,0.221,79.35,0.04
16.5,654.88,352.61,4828.070845228801,350,4.478070845228801,4.478070845228801,0.0,8109.635,6055.38,82912.57659959041,7468.0,17400,30.0,0.221,79.35,0.04
17.0,542.38,217.96,2984.3915981568002,450,2.5343915981568,2.5343915981568,0.0,8380.825,6164.36,84404.7723986688,7693.0,17400,30.0,0.221,79.35,0.04
17.5,419.24,108.98,1492.1957990784001,588,0.9041957990784001,0.9041957990784001,0.0,8590.445000000002,6218.849999999999,85150.87029820801,7987.0,17400,30.0,0.221,79.35,0.04
18.0,296.1,0.0,0.0,888,-0.888,0.0,-0.888,8738.495,6218.849999999999,85150.87029820801,8431.0,17400,30.0,0.221,79.35,0.04
18.5,178.81,0.0,0.0,810,-0.81,0.0,-0.81,8827.900000000001,6218.849999999999,85150.87029820801,8836.0,17400,30.0,0.221,79.35,0.04
19.0,61.52,0.0,0.0,870,-0.87,0.0,-0.87,8858.660000000002,6218.849999999999,85150.87029820801,9271.0,17400,30.0,0.221,79.35,0.04
19.5,30.76,0.0,0.0,570,-0.57,0.0,-0.57,8874.04,6218.849999999999,85150.87029820801,9556.0,17400,30.0,0.221,79.35,0.04
20.0,0.0,0.0,0.0,530,-0.53,0.0,-0.53,8874.04,6218.849999999999,85150.87029820801,9821.0,17400,30.0,0.221,79.35,0.04
20.5,0.0,0.0,0.0,410,-0.41,0.0,-0.41,8874.04,6218.849999999999,85150.87029820801,10026.0,17400,30.0,0.221,79.35,0.04
21.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,8874.04,6218.849999999999,85150.87029820801,10231.0,17400,30.0,0.221,79.35,0.04
21.5,0.0,0.0,0.0,410,-0.41,0.0,-0.41,8874.04,6218.849999999999,85150.87029820801,10436.0,17400,30.0,0.221,79.35,0.04
22.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,8874.04,6218.849999999999,85150.87029820801,10641.0,17400,30.0,0.221,79.35,0.04
22.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,8874.04,6218.849999999999,85150.87029820801,10816.0,17400,30.0,0.221,79.35,0.04
23.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,8874.04,6218.849999999999,85150.87029820801,10991.0,17400,30.0,0.221,79.35,0.04
23.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,8874.04,6218.849999999999,85150.87029820801,11166.0,17400,30.0,0.221,79.35,0.04
