Hora,Generacion_PV,Consumo,Balance_Energetico,Energia_Bateria_Wh,SOC,Energia_Cargada,Energia_Descargada
0,0.0,350,-350.0,62241.1111111111,0.9937906931360547,0.0,388.88888888888886
1,0.0,350,-350.0,61852.22222222221,0.9875813862721096,0.0,388.88888888888886
2,0.0,350,-350.0,61463.33333333332,0.9813720794081643,0.0,388.88888888888886
3,0.0,350,-350.0,61074.44444444443,0.975162772544219,0.0,388.88888888888886
4,0.0,350,-350.0,60685.55555555554,0.9689534656802737,0.0,388.88888888888886
5,0.0,350,-350.0,60296.66666666665,0.9627441588163286,0.0,388.88888888888886
6,0.0,350,-350.0,59907.77777777776,0.9565348519523833,0.0,388.88888888888886
7,0.0,350,-350.0,59518.88888888887,0.950325545088438,0.0,388.88888888888886
8,0.0,350,-350.0,59129.99999999998,0.9441162382244929,0.0,388.88888888888886
9,0.0,350,-350.0,58741.11111111109,0.9379069313605476,0.0,388.88888888888886
10,0.0,350,-350.0,58352.2222222222,0.9316976244966023,0.0,388.88888888888886
11,0.0,350,-350.0,57963.33333333331,0.925488317632657,0.0,388.88888888888886
12,0.0,410,-410.0,57507.77777777775,0.9182145581634641,0.0,455.55555555555554
13,0.0,810,-810.0,56607.77777777775,0.9038444479926195,0.0,900.0
14,0.0,1310,-1310.0,55152.2222222222,0.8806038994447103,0.0,1455.5555555555554
15,40.863744,510,-469.136256,54630.95971555553,0.8722810109461206,0.0,521.2625066666667
16,81.727488,708,-626.272512,53935.10136888886,0.8611703874962298,0.0,695.8583466666666
17,553.9415039999999,608,-54.058496000000105,53875.03637333331,0.8602113423811801,0.0,60.06499555555567
18,1026.15552,350,676.15552,54483.576341333304,0.8699277716962048,608.539968,0.0
19,1353.1207680000002,350,1003.1207680000002,55386.385032533304,0.8843427276470271,902.8086912000002,0.0
20,1680.0860159999995,350,1330.0860159999995,56583.46244693331,0.903456210233647,1197.0774143999995,0.0
21,1928.17152,350,1578.17152,58003.81681493331,0.9261347088445364,1420.354368,0.0
22,2176.257024,350,1826.257024,59647.448136533305,0.9523782234796953,1643.6313216,0.0
23,2320.261632,350,1970.2616320000002,61420.6836053333,0.9806911001969234,1773.2354688000003,0.0
24,2464.2662399999995,350,2114.2662399999995,62629.99999999999,1.0,1902.8396159999995,0.0
25,2492.3289600000003,450,2042.3289600000003,62629.99999999999,1.0,1838.0960640000003,0.0
26,2520.39168,510,2010.3916800000002,62629.99999999999,1.0,1809.3525120000002,0.0
27,2429.996544,1010,1419.996544,62629.99999999999,1.0,1277.9968896,0.0
28,2339.601408,410,1929.601408,62629.99999999999,1.0,1736.6412672000001,0.0
29,2135.9047680000003,350,1785.9047680000003,62629.99999999999,1.0,1607.3142912000003,0.0
30,1932.208128,350,1582.208128,62629.99999999999,1.0,1423.9873152,0.0
31,1636.20864,350,1286.20864,62629.99999999999,1.0,1157.587776,0.0
32,1340.209152,350,990.2091519999999,62629.99999999999,1.0,891.1882367999999,0.0
33,983.840256,350,633.840256,62629.99999999999,1.0,570.4562304,0.0
34,627.47136,450,177.47136,62629.99999999999,1.0,159.72422400000002,0.0
35,314.136576,450,-135.863424,62479.04063999999,0.997589663739422,0.0,150.95936
36,0.801792,1010,-1009.198208,61357.70929777777,0.979685602710806,0.0,1121.3313422222222
37,0.400896,1010,-1009.599104,60235.93251555555,0.9617744294356627,0.0,1121.7767822222222
38,0.0,608,-608.0,59560.376959999994,0.9509879763691522,0.0,675.5555555555555
39,0.0,608,-608.0,58884.82140444444,0.9402015233026416,0.0,675.5555555555555
40,0.0,930,-930.0,57851.4880711111,0.9237025079213015,0.0,1033.3333333333333
41,0.0,1110,-1110.0,56618.15473777777,0.904010134724218,0.0,1233.3333333333333
42,0.0,1050,-1050.0,55451.4880711111,0.8853822141323824,0.0,1166.6666666666667
43,0.0,750,-750.0,54618.15473777777,0.8720765565667855,0.0,833.3333333333333
44,0.0,590,-590.0,53962.59918222221,0.8616094392818493,0.0,655.5555555555555
45,0.0,590,-590.0,53307.04362666666,0.8511423219969131,0.0,655.5555555555555
46,0.0,410,-410.0,52851.4880711111,0.8438685625277201,0.0,455.55555555555554
47,0.0,350,-350.0,52462.59918222221,0.8376592556637749,0.0,388.88888888888886
